postId,a1,a2,b1,b2,c1,c2,processed,found,missed
4403,6,6,3,5,3,2,60,25,35
4404,15,11,8,7,5,2,120,48,72
4406,3,3,1,1,1,1,30,10,20
4412,5,3,2,1,2,2,60,15,45
4414,1,2,1,1,0,1,42,6,36
4416,8,6,3,2,1,1,108,21,87
4417,7,7,6,5,3,2,72,30,42
4420,2,2,3,0,1,0,48,8,40
4421,2,2,3,0,1,0,48,8,40
4422,226,192,158,117,53,45,2466,791,1675
4483,188,151,101,61,42,26,2184,569,1615
4432,12,5,7,4,1,2,90,31,59
4433,8,5,4,2,2,2,90,23,67
4436,4,5,2,1,2,0,90,14,76
4440,7,11,5,2,2,2,90,29,61
4519,175,156,115,93,65,40,2538,644,1894
4476,67,65,52,44,25,13,936,266,670
4478,13,13,9,8,3,0,180,46,134
4480,7,8,7,6,5,4,90,37,53
4481,4,7,4,4,1,1,108,21,87
4482,4,7,4,4,1,1,102,21,81
4506,8,7,5,3,0,3,84,26,58
4508,5,4,1,3,0,3,66,16,50
4509,13,14,9,2,4,4,138,46,92
4516,7,8,5,4,3,1,78,28,50
4554,250,188,146,79,45,29,2712,737,1975
4524,143,110,79,62,28,16,1584,438,1146
4543,5,5,6,2,3,2,102,23,79
4548,4,6,0,2,1,2,84,15,69
4556,186,177,114,74,51,35,2394,637,1757
4595,191,137,90,66,40,26,2118,550,1568
4603,625,495,388,281,164,84,6816,2037,4779
4605,8,6,7,1,1,1,96,24,72
4607,11,10,6,5,1,2,120,35,85
4609,8,6,4,3,1,2,72,24,48
4612,13,11,5,3,1,2,120,35,85
4613,6,7,4,2,2,1,54,22,32
4623,11,10,8,6,3,0,120,38,82
4626,4,5,3,4,1,4,66,21,45
4628,11,9,6,8,4,0,114,38,76
4630,12,8,6,6,1,1,108,34,74
4632,13,10,10,4,2,4,126,43,83
4635,410,306,205,154,87,68,4392,1230,3162
4641,7,7,7,5,4,2,120,32,88
4646,10,8,5,4,2,3,108,32,76
4648,15,11,7,3,2,0,132,38,94
4649,289,277,269,194,125,55,4632,1209,3423
4651,0,0,0,0,0,0,0,0,0
4668,10,8,5,3,2,0,120,28,92
4670,7,7,4,7,4,0,156,29,127
4673,2,4,4,2,1,1,60,14,46
4674,8,8,7,3,2,1,120,29,91
4677,10,6,5,6,3,4,138,34,104
4678,10,6,5,6,3,4,132,34,98
4750,179,190,118,99,50,35,2208,671,1537
4682,156,147,124,82,76,29,2292,614,1678
4734,5,4,1,1,1,1,60,13,47
4755,34,30,20,14,5,4,396,107,289
4735,19,11,14,6,2,3,168,55,113
4736,10,6,5,4,0,1,102,26,76
4737,132,118,93,63,46,51,1674,503,1171
4738,6,5,3,4,1,1,108,20,88
4740,10,13,5,5,1,3,108,37,71
4741,5,6,2,0,0,0,54,13,41
4745,12,14,12,11,6,3,150,58,92
4770,5,5,7,5,2,1,96,25,71
4772,10,9,5,5,1,3,114,33,81
4797,5,6,2,3,0,0,66,16,50
4801,13,11,8,2,2,2,114,38,76
4872,1642,1296,893,561,336,213,17064,4941,12123
4813,9,8,7,5,3,2,96,34,62
4816,11,8,7,7,4,3,144,40,104
4817,11,5,3,3,1,4,102,27,75
4875,39,30,16,10,4,5,510,104,406
5923,372,376,266,186,104,111,4536,1415,3121
6491,537,546,405,293,219,80,6636,2080,4556
5547,98,81,50,40,19,17,1152,305,847
5596,284,273,172,121,79,56,3198,985,2213
5607,12,10,6,6,3,1,126,38,88
5625,15,14,9,9,5,5,156,57,99
5703,69,46,36,28,19,12,648,210,438
5802,60,47,34,31,14,11,726,197,529
5843,149,65,74,52,17,18,1788,375,1413
5856,970,780,541,369,222,193,10554,3075,7479
5860,10,9,8,7,4,1,114,39,75
5861,8,5,5,4,6,1,114,29,85
5862,11,10,5,3,4,1,102,34,68
5885,218,210,190,147,83,38,3078,886,2192
5888,7,8,8,3,0,2,102,28,74
5918,7,8,3,5,5,0,120,28,92
5919,276,225,136,117,54,59,3288,867,2421
5922,3,1,0,0,0,0,30,4,26
5925,251,181,123,99,49,53,2436,756,1680
5927,17,14,7,7,3,4,156,52,104
5945,148,109,65,49,37,9,1662,417,1245
5947,596,463,314,217,134,78,6180,1802,4378
5951,319,244,167,152,92,50,3186,1024,2162
5955,164,141,91,67,47,29,2154,539,1615
5957,387,378,302,213,156,93,6210,1529,4681
5959,4,6,6,3,1,2,54,22,32
5961,7,9,6,6,6,2,96,36,60
5962,8,11,7,8,6,3,132,43,89
5963,8,8,7,3,3,1,120,30,90
5964,8,8,7,3,3,1,120,30,90
5981,229,220,202,131,90,55,3678,927,2751
5983,153,117,72,57,32,16,1626,447,1179
5986,17,13,11,6,4,4,150,55,95
5995,19,12,11,4,2,2,186,50,136
6015,108,103,86,54,31,24,1260,406,854
6018,349,342,264,217,138,65,4446,1375,3071
6021,12,12,11,7,4,2,150,48,102
6408,187,145,110,86,50,30,2190,608,1582
6025,154,111,84,48,24,19,1746,440,1306
6027,2,2,2,0,0,2,36,8,28
6028,308,227,159,99,69,52,3150,914,2236
6030,9,6,4,4,0,2,102,25,77
6054,254,277,256,198,127,45,4116,1157,2959
6056,7,9,7,5,3,1,108,32,76
6058,5,7,5,4,5,4,108,30,78
6063,679,635,475,339,231,118,8052,2477,5575
6066,8,9,7,7,5,2,114,38,76
6083,186,137,92,72,41,26,2226,554,1672
6087,267,197,149,106,55,46,3072,820,2252
6092,0,0,0,0,0,0,54,0,54
6114,116,81,58,39,28,14,1308,336,972
6119,128,109,80,56,40,15,1770,428,1342
6121,311,292,220,165,107,59,4104,1154,2950
6144,320,275,181,125,69,51,4044,1021,3023
6147,156,142,89,55,36,19,1812,497,1315
6155,50,40,32,25,20,16,882,183,699
6157,28,25,12,5,8,3,432,81,351
6176,291,216,170,119,79,40,3678,915,2763
6178,146,123,100,61,35,34,1938,499,1439
6184,589,509,373,267,209,124,6996,2071,4925
6204,59,43,26,19,12,7,876,166,710
6206,399,341,246,190,99,69,4596,1344,3252
6208,4,6,6,3,1,2,54,22,32
6209,11,10,12,8,5,5,126,51,75
6230,324,268,241,148,104,58,4188,1143,3045
6232,9,7,9,6,6,2,108,39,69
6233,9,7,9,6,6,2,108,39,69
6238,239,163,120,66,33,23,2622,644,1978
6240,11,9,8,3,2,1,120,34,86
6244,10,9,7,5,2,1,114,34,80
6245,26,22,13,8,4,9,312,82,230
6262,611,519,316,191,103,95,6234,1835,4399
6264,244,192,144,93,78,35,3006,786,2220
6268,324,298,244,167,117,48,3990,1198,2792
6272,4,6,3,2,1,0,84,16,68
6273,27,19,12,8,1,9,342,76,266
6292,51,43,37,26,13,9,672,179,493
6295,258,206,105,76,42,47,3138,734,2404
6298,136,115,81,62,31,27,1704,452,1252
6301,1,3,5,2,1,2,42,14,28
6302,10,8,5,2,2,4,102,31,71
6303,230,195,122,91,52,28,2460,718,1742
6305,593,513,399,290,227,88,7002,2110,4892
6332,55,47,31,26,10,5,552,174,378
6334,483,404,351,281,238,71,5646,1828,3818
6337,7,5,3,3,3,1,78,22,56
6338,10,7,3,2,0,0,120,22,98
6340,213,207,174,118,87,44,3108,843,2265
6343,7,6,6,6,3,3,102,31,71
6345,5,5,7,3,1,0,114,21,93
6348,7,7,6,4,1,1,96,26,70
6349,141,105,79,52,38,23,1608,438,1170
6354,254,227,132,105,57,48,2988,823,2165
6356,183,164,112,82,81,31,2082,653,1429
6360,1,2,1,2,0,3,36,9,27
6372,100,72,51,43,28,14,1224,308,916
6375,20,12,9,5,3,4,168,53,115
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
6378,361,336,235,155,116,87,4056,1290,2766
6380,16,18,12,7,8,2,180,63,117
6382,8,10,6,3,4,2,90,33,57
6383,298,294,208,160,124,48,3636,1132,2504
6385,12,12,10,9,5,3,114,51,63
6386,5,5,5,4,3,1,60,23,37
6416,10,8,6,3,1,3,120,31,89
6418,4,4,4,6,1,2,84,21,63
6425,40,34,25,19,15,7,576,140,436
6444,9,5,4,1,0,1,72,20,52
6446,116,103,72,45,32,18,1398,386,1012
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
