postId,l1,l2,l3,l4,l5,l6,processed,found,missed
14339,264,30,19,12,5,2,2580,332,2248
14351,232,51,31,15,5,3,2508,337,2171
14356,6,1,2,0,0,0,54,9,45
14357,4,1,1,0,0,0,66,6,60
14361,67,5,8,2,2,1,816,85,731
14363,159,31,12,10,1,4,1950,217,1733
14372,2,0,0,1,0,0,36,3,33
14373,2,0,1,1,1,0,36,5,31
14376,176,28,22,1,1,4,1998,232,1766
14378,318,34,23,8,7,0,3096,390,2706
14380,3,0,0,0,0,0,36,3,33
14383,4,1,1,0,0,0,72,6,66
14384,219,18,18,5,3,1,2340,264,2076
14386,3,0,0,0,0,0,24,3,21
14387,3,1,0,0,0,0,42,4,38
14388,408,39,33,14,5,3,3864,502,3362
14398,110,14,4,2,1,0,1080,131,949
14401,5,0,0,0,0,0,36,5,31
14424,1187,139,97,26,11,12,10608,1472,9136
14428,304,35,24,3,3,2,2844,371,2473
14430,1458,204,150,75,19,18,14088,1924,12164
14432,1878,258,185,134,27,34,18828,2516,16312
14434,1800,244,152,115,24,36,17778,2371,15407
14436,1531,199,145,78,19,22,15036,1994,13042
14438,1493,151,138,134,21,19,15294,1956,13338
14441,825,102,77,43,7,18,8346,1072,7274
14443,1416,247,109,84,18,16,14682,1890,12792
14445,923,96,83,57,23,19,9426,1201,8225
14447,1170,187,91,64,7,11,12456,1530,10926
14459,173,14,8,0,5,1,1572,201,1371
14468,5,0,0,0,0,0,48,5,43
14469,6,1,0,0,0,0,48,7,41
14470,293,34,26,4,5,1,2604,363,2241
14480,269,24,20,3,2,2,2790,320,2470
14489,109,13,11,4,3,3,1422,143,1279
14493,103,16,11,1,3,1,1104,135,969
0,0,0,0,0,0,0,0,0,0
14499,2,0,0,0,0,0,36,2,34
14502,346,35,19,4,5,4,3396,413,2983
14561,78,13,9,0,1,0,828,101,727
14566,507,57,54,8,12,1,4356,639,3717
14572,10,2,1,0,0,0,96,13,83
14574,16,4,3,0,0,0,120,23,97
14587,120,24,16,5,2,1,1326,168,1158
14592,15,6,5,0,0,1,126,27,99
14595,202,21,7,1,3,2,2166,236,1930
14604,4,1,0,0,0,0,42,5,37
14606,8,1,0,0,0,0,66,9,57
14611,1832,230,149,53,21,21,16704,2306,14398
14613,0,0,0,0,0,0,0,0,0
14615,1708,169,121,44,8,15,16542,2065,14477
14617,1096,143,125,45,8,13,10920,1430,9490
14619,1361,158,134,35,11,14,12480,1713,10767
14621,897,143,93,48,20,17,9756,1218,8538
14625,0,0,0,0,0,0,0,0,0
14631,175,8,7,1,1,0,1656,192,1464
14638,478,53,28,8,2,0,4572,569,4003
14679,12,0,1,0,0,0,96,13,83
14682,12,1,0,0,0,0,108,13,95
